id,word,prob_inc,prob_occur
363,australians,1.0,0.0026065424214779098
364,many,0.6129032258064516,0.0808028150658152
365,httpstcoej1uxkhrpr,1.0,0.0026065424214779098
366,lotr,1.0,0.0026065424214779098
367,s,0.46551724137931033,0.15117946044571876
368,t,0.85,0.05213084842955819
369,answer,0.5,0.020852339371823278
370,future,0.5172413793103449,0.07558973022285938
371,w,0.5925925925925926,0.07037664537990355
372,exciting,0.625,0.020852339371823278
373,kwh,0.625,0.020852339371823278
374,dc,0.8,0.013032712107389547
375,discuss,1.0,0.0026065424214779098
376,thru,1.0,0.0026065424214779098
377,fed,1.0,0.0026065424214779098
378,use,0.5483870967741935,0.0808028150658152
379,httpstcoucz8o3tfm1,1.0,0.0026065424214779098
380,leaders,0.3333333333333333,0.00781962726443373
381,disr,1.0,0.0026065424214779098
382,explanat,1.0,0.0026065424214779098
383,cliche,1.0,0.0026065424214779098
384,biggest,0.2857142857142857,0.018245796950345367
385,prior,0.6666666666666666,0.00781962726443373
386,govt,0.7333333333333333,0.039098136322168645
387,bear,1.0,0.0052130848429558195
388,results,0.75,0.010426169685911639
389,ahpton16,1.0,0.0026065424214779098
390,test,0.4,0.06516356053694775
391,inve,1.0,0.0026065424214779098
392,its,0.5785714285714286,0.36491593900690733
393,check,0.3333333333333333,0.01563925452886746
394,my,0.5811965811965812,0.3049654633129154
395,both,0.6363636363636364,0.028671966636257006
396,most,0.6491228070175439,0.14857291802424086
397,especially,0.38461538461538464,0.03388505147921282
398,know,0.6511627906976745,0.11208132412355012
399,5allanlevito,1.0,0.0026065424214779098
400,support,0.4117647058823529,0.04431122116512446
401,httpstcouksjidzpaq,1.0,0.0026065424214779098
402,full,0.625,0.041704678743646556
403,who,0.5357142857142857,0.14596637560276293
404,jmmzherrera,1.0,0.0026065424214779098
405,note,0.5,0.020852339371823278
406,igbt,1.0,0.0026065424214779098
407,httpstcoczufwzkgje,1.0,0.0026065424214779098
408,book,0.75,0.010426169685911639
409,best,0.631578947368421,0.09904861201616055
410,storage,0.3333333333333333,0.00781962726443373
411,motors,0.8333333333333334,0.01563925452886746
412,can,0.5128205128205128,0.20331030887527696
413,today,0.5,0.07298318780138147
414,over,0.5526315789473685,0.09904861201616055
415,vgroysman,1.0,0.0026065424214779098
416,distances,1.0,0.0026065424214779098
417,electric,0.6428571428571429,0.07298318780138147
418,transmit,1.0,0.0026065424214779098
419,tweet,0.8888888888888888,0.023458881793301186
420,gets,0.42857142857142855,0.018245796950345367
421,voltage,1.0,0.0052130848429558195
422,with,0.4810810810810811,0.4822103479734133
423,alternating,1.0,0.0026065424214779098
424,arguably,0.6666666666666666,0.00781962726443373
425,time,0.5454545454545454,0.14335983318128503
426,httpstcojnocwkvmxy,1.0,0.0026065424214779098
427,spoke,0.5,0.0052130848429558195
428,south,0.4444444444444444,0.023458881793301186
429,impressed,1.0,0.0052130848429558195
430,premier,0.5,0.0052130848429558195
431,australia,0.2222222222222222,0.023458881793301186
432,clearly,1.0,0.0052130848429558195
433,committ,1.0,0.0026065424214779098
434,jayweatherill,1.0,0.0026065424214779098
435,priyancaford,1.0,0.0026065424214779098
436,finally,0.5,0.010426169685911639
437,makes,0.8571428571428571,0.03649159390069073
438,sense,1.0,0.020852339371823278
439,explanation,0.5,0.0052130848429558195
440,point,0.5,0.09383552717320474
441,wish,0.45454545454545453,0.028671966636257006
442,daylight,1.0,0.0026065424214779098
443,kyleugh,1.0,0.0026065424214779098
444,savings,1.0,0.0026065424214779098
445,httpstcokgpjhngrjo,1.0,0.0026065424214779098
446,annoying,1.0,0.010426169685911639
447,httpstco8ftmsb9itp,0.0,0.0026065424214779098
448,photos,0.2857142857142857,0.018245796950345367
449,confirmed,0.5714285714285714,0.03649159390069073
450,jakerawr,0.0,0.0026065424214779098
451,httpstco095whwmtkp,0.3333333333333333,0.00781962726443373
452,car,0.5757575757575758,0.25804769972631303
453,xxiii,0.0,0.0026065424214779098
454,geosynchronous,0.0,0.0026065424214779098
455,orbit,0.5714285714285714,0.0547373908510361
456,satellite,0.4,0.013032712107389547
457,echostar,0.5,0.0052130848429558195
458,live,0.5,0.05734393327251401
459,successful,0.5454545454545454,0.028671966636257006
460,deployment,0.6,0.026065424214779094
461,burn,0.6666666666666666,0.01563925452886746
462,liftoff,0.3333333333333333,0.01563925452886746
463,httpstcogtc39ubc7z,0.5,0.020852339371823278
464,capnjesus,0.0,0.0026065424214779098
465,httpstcoo2rkvlznak,0.0,0.0026065424214779098
466,httpstcolppwlo8ymn,0.0,0.0026065424214779098
467,lurpatron,0.0,0.0026065424214779098
468,todays,0.4166666666666667,0.03127850905773492
469,httpstcoserafpcpy2,0.0,0.0026065424214779098
470,mkbhd,0.75,0.041704678743646556
471,transfer,0.42857142857142855,0.018245796950345367
472,3,0.4307692307692308,0.33885051479212824
473,definitely,0.53125,0.08340935748729311
474,final,0.38461538461538464,0.03388505147921282
475,route,0.6666666666666666,0.00781962726443373
476,teams,0.625,0.020852339371823278
477,en,1.0,0.0052130848429558195
478,recovery,0.42857142857142855,0.018245796950345367
479,httpstco5aigcx0vs2,1.0,0.0026065424214779098
480,almost,0.5625,0.08340935748729311
481,hope,0.6521739130434783,0.05995047569399192
482,karaswisher,0.5,0.01563925452886746
483,up,0.475,0.10426169685911638
484,https,0.35714285714285715,0.03649159390069073
485,give,0.7142857142857143,0.018245796950345367
486,nothing,0.5833333333333334,0.06255701811546983
487,bill,1.0,0.00781962726443373
488,am,0.6666666666666666,0.10165515443763848
489,never,0.38461538461538464,0.06777010295842564
490,difference,0.5,0.01563925452886746
491,programs,0.3333333333333333,0.00781962726443373
492,x17online,1.0,0.0026065424214779098
493,some,0.5370370370370371,0.1407532907598071
494,ryanrossuk,1.0,0.0026065424214779098
495,doing,0.5333333333333333,0.039098136322168645
496,changes,0.3333333333333333,0.00781962726443373
497,hero,1.0,0.0026065424214779098
498,house,0.5454545454545454,0.028671966636257006
499,perhaps,0.5714285714285714,0.018245796950345367
500,place,0.5,0.020852339371823278
501,mine,1.0,0.0052130848429558195
502,elonmusk,0.6415094339622641,0.1381467483383292
503,mars,0.42857142857142855,0.07298318780138147
504,stay,0.5,0.010426169685911639
505,actually,0.5348837209302325,0.11208132412355012
506,existing,0.6,0.013032712107389547
507,what,0.5645161290322581,0.1616056301316304
508,there,0.45588235294117646,0.17724488466049784
509,httpstcorxn1lld6qa,1.0,0.0026065424214779098
510,customer,0.4,0.013032712107389547
511,story,0.6666666666666666,0.023458881793301186
512,looks,0.47058823529411764,0.04431122116512446
513,wouterhuijs,0.0,0.0026065424214779098
514,release,0.55,0.05213084842955819
515,tueswed,0.6666666666666666,0.00781962726443373
516,81,0.5,0.0052130848429558195
517,year,0.5384615384615384,0.10165515443763848
518,yeah,0.49230769230769234,0.16942525739606412
519,sorta,1.0,0.0026065424214779098
520,varunfatehpuria,1.0,0.0026065424214779098
521,building,0.4,0.039098136322168645
522,alsaibie,1.0,0.0026065424214779098
523,because,0.4117647058823529,0.04431122116512446
524,energy,0.3157894736842105,0.04952430600808028
525,httpstcozcs6j1yra4,1.0,0.0026065424214779098
526,mreweguy,1.0,0.0026065424214779098
527,going,0.48717948717948717,0.10165515443763848
528,impact,0.3333333333333333,0.01563925452886746
529,ramp,0.5,0.010426169685911639
530,drangus,1.0,0.0026065424214779098
531,90d,1.0,0.0026065424214779098
532,version,0.7619047619047619,0.0547373908510361
533,jimpengelly,1.0,0.010426169685911639
534,wheelbase,1.0,0.0026065424214779098
535,triple,1.0,0.0026065424214779098
536,4,0.6666666666666666,0.03127850905773492
537,5,0.38095238095238093,0.0547373908510361
538,6,0.7777777777777778,0.04691776358660237
539,trying,0.6153846153846154,0.03388505147921282
540,aaronpaul8,1.0,0.0026065424214779098
541,selfdriving,1.0,0.010426169685911639
542,simultaneously,1.0,0.0026065424214779098
543,detail,0.42857142857142855,0.018245796950345367
544,densities,1.0,0.0026065424214779098
545,drive,0.6818181818181818,0.05734393327251401
